"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast"
"Naive Forecasting",2.54918868177196,8483.89738086885,114740246.474724,55.6308896727424,170.795641678721,0.0201317429963102,11022.7956416787
"Moving Average",45.8249168689528,5796.32379568102,49516451.5945831,37.5984439465771,2932.79467961298,0.505974956367737,16962.6737535952
"Weighted Moving Average",22.6009995758826,7030.36241893396,69983738.5611626,45.3138997225016,1446.46397285649,0.205745292584194,17219.2178718452
"Exponential Smoothing",-1.83376328827067,5835.664684954,50538324.8582998,38.8073404870213,-124.695903602405,-0.0213679007164183,16428.7768043612
"Trend-Adjusted Exponential Smoothing",266.109175920422,5746.55831260648,50645897.439856,37.6293093091293,18095.4239625887,3.14891505109971,16134.4922366682
"Linear Trend Projection",-1.87039926030968e-13,5887.46355005982,50363010.680181,38.9277015111609,-1.2732925824821e-11,-2.16271841287096e-15,15702.4778560892
"Seasonal Indices",2.24176487970499,2296.70420579512,8315355.35663381,16.0627540937874,152.440011819939,0.0663733760034477,11080.2298690769
"Additive Decomposition",12.704246564541,1429.99740270354,3432817.62299505,9.48935579837241,813.071780130621,0.568582697138775,11602.611863632
"Multiplicative Decomposition",26.1179113633318,1437.95767239467,3320670.76105599,9.89469967836814,1671.54632725323,1.16244473626929,11602.611863632
"Regression with Trend and Seasonal Dummies",5.36305068981841e-14,2275.48485238632,8272722.88138644,15.8351023526676,3.63797880709171e-12,1.5987708304349e-15,10700.4481498052
